,MH,LSH,band,TP_mean,TP_1SE,TN_mean,TN_1SE,FP_mean,FP_1SE,FN_mean,FN_1SE,Acc_mean,Acc_1SE,Prec_mean,Prec_1SE,Recall_mean,Recall_1SE,F1_mean,F1_1SE,SIM_t
0,200,1,20,2,0,499420.4,4.377,0,0,77.6,4.377,1,0,1,0,0.03,0.002,0.05,0.003,0.741
0,200,1,50,36,9.236,467786.6,402.142,0,0,31677.4,399.884,0.94,0.001,1,0,0,0,0,0.001,0.376
0,200,1,100,66253.5,1716.09,146863.25,1855.119,80,10.501,286303.25,1862.122,0.43,0.004,1,0,0.19,0.005,0.32,0.006,0.1
0,200,3,10,2,0,499497.5,0.5,0,0,0.5,0.5,1,0,1,0,0.83,0.167,0.9,0.1,0.891
0,200,3,50,2,0,499425.8,3.72,0,0,72.2,3.72,1,0,1,0,0.03,0.001,0.05,0.003,0.741
0,200,3,50,2539.4,171.713,466499.8,1209.553,228.6,30.276,30232.2,1080.198,0.94,0.002,0.92,0.011,0.08,0.003,0.14,0.005,0.376
0,200,3,100,339339,2268.604,103680.6,2307.697,38956.2,1341.834,17524.2,1093.083,0.89,0.001,0.9,0.003,0.95,0.003,0.92,0.001,0.1
0,200,5,10,2,0,499496.5,0.645,0,0,1.5,0.645,1,0,1,0,0.64,0.131,0.76,0.093,0.891
0,200,5,20,10.6,1.288,499424.2,2.8,1.6,0.245,63.6,2.064,1,0,0.87,0.015,0.14,0.014,0.24,0.02,0.741
0,200,5,50,18366.2,662.229,446175.4,2694.977,23838.4,1931.082,11120,208.277,0.93,0.004,0.44,0.013,0.62,0.005,0.51,0.009,0.376
0,200,5,100,334818.8,3515.8,109162.2,2946.325,35509,1829.659,20010,1529.938,0.89,0.002,0.9,0.004,0.94,0.004,0.92,0.002,0.1
