MH,BANDS,LSH,TIME_1,MEM,Gigabyte
600,150,1,169,7902724,7.902724
600,150,1,159,8238104,8.238104
600,150,1,148,8219952,8.219952
600,150,1,148,6632392,6.632392
600,150,3,397,12638104,12.638104
600,150,3,394,12608236,12.608236
600,150,3,395,12006772,12.006772
600,150,3,386,15190820,15.19082
600,150,5,661,17104760,17.10476
600,150,5,635,14915896,14.915896
600,150,5,634,14873900,14.8739
600,150,5,662,17478872,17.478872
200,50,1,85,5115868,5.115868
200,50,1,84,4364868,4.364868
200,50,1,81,5391572,5.391572
200,50,1,80,4707940,4.70794
200,50,3,155,7770096,7.770096
200,50,3,155,7630760,7.63076
200,50,3,155,7770096,7.770096
200,50,3,155,7630760,7.63076
200,50,5,241,7639668,7.639668
200,50,5,244,8727008,8.727008
200,50,5,241,9196832,9.196832
200,50,5,242,7973484,7.973484
