#songs,#MHfuncs,#LSHfuncs,#bands,mMH,mLSH,pMH,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,threshold,TOTPAIRS,timeH:M:S,MEMORY KB,MB,PLOTS,EXCELL
1000,600,5,150,20117,20117,338563,58102,388155,22937,30306,0.893407407,0.716963437,0.657202968,0.685783755,0.286,499500,08:30.4,10356996,10356.996,YES,YES
1000,600,2,150,20117,20117,338563,5093,410256,58,84093,0.83152953,0.98874005,0.057105375,0.107974602,0.286,499500,04:24.6,9382156,9382.156,YES,YES
1000,600,1,150,20117,20117,338563,83,412509,0,86908,0.82601001,1,0.000954122,0.001906424,0.286,499500,03:10.7,10081036,10081.036,YES,YES
1000,600,8,150,20117,20117,338563,75935,359463,52772,11330,0.871667668,0.589983451,0.870165588,0.703193007,0.286,499500,14:18.9,16195956,16195.956,YES,YES
1000,600,5,150,20117,20117,338563,N/A,N/A,N/A,N/A,0.886984985,0.663727594,0.67563418,0.669627,0.286,499500,08:02.3,13904664,13904.664,NO,NO
1000,600,10,150,20117,20117,338563,79423,346189,63956,9932,0.852076076,0.553937466,0.888847854,0.682521677,0.286,499500,17:16.0,14515652,14515.652,YES,YES
1000,600,10,100,20117,20117,338563,6893,476379,14430,1798,0.967511512,0.323265957,0.793119319,0.459318984,0.464,499500,11:03.0,12599740,12599.74,YES,YES
1000,600,1,100,20117,20117,338563,2,491417,0,8081,0.983821822,1,0.000247433,0.000494743,0.464,499500,02:54.6,8411440,8411.44,YES,YES
1000,600,2,100,20117,20117,338563,31,491621,0,7848,0.984288288,1,0.003934509,0.00783818,0.464,499500,03:52.5,9371908,9371.908,YES,YES
1000,600,5,100,20117,20117,338563,541,490686,50,8223,0.983437437,0.915397631,0.061729804,0.115660075,0.464,499500,07:16.1,12895452,12895.452,YES,YES
1000,600,8,100,20117,20117,338563,6291,478676,12039,2494,0.970904905,0.343207856,0.716107001,0.464023603,0.464,499500,09:36.8,15863980,15863.98,YES,YES
1000,600,1,50,20117,20117,338563,2,499403,0,95,0.99980981,1,0.020618557,0.04040404,0.722,499500,02:29.7,9063996,9063.996,YES,YES
1000,600,2,50,20117,20117,338563,2,499393,0,105,0.99978979,1,0.018691589,0.036697248,0.722,499500, 2:58.95,11023680,11023.68,YES,YES
1000,600,5,50,20117,20117,338563,7,499413,0,80,0.99983984,1,0.08045977,0.14893617,0.722,499500,04:29.4,11711560,11711.56,YES,YES
1000,600,8,50,20117,20117,338563,10,499409,0,81,0.999837838,1,0.10989011,0.198019802,0.722,499500,05:56.3,11076780,11076.78,YES,YES
1000,600,10,50,20117,20117,338563,16,499399,1,84,0.99982983,0.941176471,0.16,0.273504274,0.722,499500,06:44.6,13545984,13545.984,YES,YES
1000,600,12,50,20117,20117,338563,78,499108,301,13,0.999371371,0.205804749,0.857142857,0.331914894,0.722,499500,08:04.5,11740372,11740.372,YES,YES
1000,600,14,50,20117,20117,338563,55,499236,170,39,0.999581582,0.244444444,0.585106383,0.344827586,0.722,499500,09:06.9,10515952,10515.952,YES,YES
1000,600,16,50,20117,20117,338563,71,499136,252,41,0.999413413,0.219814241,0.633928571,0.326436782,0.722,499500,10:12.7,10965620,10965.62,YES,YES
1000,600,18,50,20117,20117,338563,85,498975,431,9,0.999119119,0.164728682,0.904255319,0.278688525,0.722,499500,11:04.7,10196752,10196.752,YES,YES
1000,600,20,50,20117,20117,338563,82,499019,387,12,0.999201201,0.174840085,0.872340426,0.291296625,0.722,499500,12:19.8,11144572,11144.572,YES,YES
10000,600,5,150,20117,20117,338563,6264600,37993648,3428257,2308495,0.885253485,0.64631099,0.730727934,0.685931946,0.286,49995000,19:26:36,35268024,35268.024,YES,YES
